,index,file_extension,title,author
633,512,"../data/gutenberg/Charlotte Mary Yonge___Lady Hester, or Ursula's Narrative.txt","Lady Hester, or Ursula's Narrative",Charlotte Mary Yonge
634,810,../data/gutenberg/Eugene O_Neill___Anna Christie.txt,Anna Christie,Eugene O
635,1843,../data/gutenberg/Harold Bindloss___Northwest!.txt,Northwest!,Harold Bindloss
636,1982,"../data/gutenberg/Louisa May Alcott___Aunt Jo's Scrap-Bag, Volume 5.txt","Aunt Jo's Scrap-Bag, Volume 5",Louisa May Alcott
637,815,../data/gutenberg/Edgar Rice Burroughs___The Chessmen of Mars.txt,The Chessmen of Mars,Edgar Rice Burroughs
638,828,../data/gutenberg/Rudyard Kipling___Songs from Books.txt,Songs from Books,Rudyard Kipling
639,2653,../data/gutenberg/Charles Darwin___The Effects of Cross & Self-Fertilisation in the Vegetable Kingdom.txt,The Effects of Cross & Self-Fertilisation in the Vegetable Kingdom,Charles Darwin
640,279,../data/gutenberg/James Fenimore Cooper___Afloat And Ashore.txt,Afloat And Ashore,James Fenimore Cooper
641,1785,"../data/gutenberg/Nathaniel Hawthorne___Footprints on the Sea-Shore (From ""Twice Told Tales"").txt","Footprints on the Sea-Shore (From ""Twice Told Tales"")",Nathaniel Hawthorne
642,250,../data/gutenberg/Jerome Klapka Jerome___Novel Notes.txt,Novel Notes,Jerome Klapka Jerome
643,1490,../data/gutenberg/John Maynard Keynes___The Economic Consequences of the Peace.txt,The Economic Consequences of the Peace,John Maynard Keynes
644,2548,../data/gutenberg/Sir William Schwenck Gilbert___More Bab Ballads.txt,More Bab Ballads,Sir William Schwenck Gilbert
645,2901,../data/gutenberg/Henry Rider Haggard___Cetywayo and his White Neighbours.txt,Cetywayo and his White Neighbours,Henry Rider Haggard
646,1928,../data/gutenberg/William Butler Yeats___Four Years.txt,Four Years,William Butler Yeats
647,1045,"../data/gutenberg/William Wymark Jacobs___His Other Self, Night Watches, Part 10.txt","His Other Self, Night Watches, Part 10",William Wymark Jacobs
648,31,"../data/gutenberg/James Russell Lowell___Among My Books, First Series.txt","Among My Books, First Series",James Russell Lowell
649,2831,../data/gutenberg/Benjamin Disraeli___Vivian Grey.txt,Vivian Grey,Benjamin Disraeli
650,864,"../data/gutenberg/Thomas Carlyle___History of Friedrich II of Prussia, Volume 5.txt","History of Friedrich II of Prussia, Volume 5",Thomas Carlyle
651,2862,../data/gutenberg/Bret Harte___Selected Stories.txt,Selected Stories,Bret Harte
652,1658,../data/gutenberg/George Bernard Shaw___The Inca of Perusalem.txt,The Inca of Perusalem,George Bernard Shaw
653,2039,../data/gutenberg/Jack London___A Son Of The Sun.txt,A Son Of The Sun,Jack London
654,2933,../data/gutenberg/James Fenimore Cooper___Wyandotte.txt,Wyandotte,James Fenimore Cooper
655,2674,../data/gutenberg/Beatrix Potter___The Story of Miss Moppet.txt,The Story of Miss Moppet,Beatrix Potter
656,842,../data/gutenberg/Joseph Conrad___The Point Of Honor.txt,The Point Of Honor,Joseph Conrad
657,2316,../data/gutenberg/Andrew Lang___Angling Sketches.txt,Angling Sketches,Andrew Lang
658,2713,../data/gutenberg/Lord Tennyson___Beauties of Tennyson.txt,Beauties of Tennyson,Lord Tennyson
659,1980,../data/gutenberg/Joseph Conrad___The Arrow of Gold.txt,The Arrow of Gold,Joseph Conrad
660,2309,../data/gutenberg/Frank Richard Stockton___My Terminal Moraine.txt,My Terminal Moraine,Frank Richard Stockton
661,2095,../data/gutenberg/Anthony Trollope___Life of Cicero Volume Two.txt,Life of Cicero Volume Two,Anthony Trollope
662,1757,../data/gutenberg/Edward Stratemeyer___The Rover Boys on Treasure Isle.txt,The Rover Boys on Treasure Isle,Edward Stratemeyer
663,309,"../data/gutenberg/Henry James___The Portrait of a Lady, Volume 2.txt","The Portrait of a Lady, Volume 2",Henry James
664,1708,../data/gutenberg/Henry Rider Haggard___Lysbeth.txt,Lysbeth,Henry Rider Haggard
665,1560,../data/gutenberg/William Dean Howells___The Man of Letters as a Man of Business.txt,The Man of Letters as a Man of Business,William Dean Howells
666,490,../data/gutenberg/Andrew Lang___New Collected Rhymes.txt,New Collected Rhymes,Andrew Lang
667,818,../data/gutenberg/Jane Austen___Love And Freindship And Other Early Works.txt,Love And Freindship And Other Early Works,Jane Austen
668,1332,../data/gutenberg/Henry Rider Haggard___Cleopatra.txt,Cleopatra,Henry Rider Haggard
669,2211,../data/gutenberg/Mark Twain___In Defense of Harriet Shelley.txt,In Defense of Harriet Shelley,Mark Twain
670,2952,../data/gutenberg/John Keats___Letters of John Keats to His Family and Friends.txt,Letters of John Keats to His Family and Friends,John Keats
671,2945,../data/gutenberg/Charles Dickens___The Perils of Certain English Prisoners.txt,The Perils of Certain English Prisoners,Charles Dickens
672,2738,../data/gutenberg/Hector Hugh Munro___The Toys of Peace.txt,The Toys of Peace,Hector Hugh Munro
673,2863,../data/gutenberg/Mark Twain___The Curious Republic of Gondour and Other Whimsical Sketches.txt,The Curious Republic of Gondour and Other Whimsical Sketches,Mark Twain
674,1259,"../data/gutenberg/Herbert George Wells___The Country of the Blind, And Other Stories.txt","The Country of the Blind, And Other Stories",Herbert George Wells
675,1165,../data/gutenberg/Beatrix Potter___Cecily Parsley's Nursery Rhymes.txt,Cecily Parsley's Nursery Rhymes,Beatrix Potter
676,892,../data/gutenberg/George Alfred Henty___In the Reign of Terror.txt,In the Reign of Terror,George Alfred Henty
677,2531,../data/gutenberg/John Ruskin___Mornings in Florence.txt,Mornings in Florence,John Ruskin
678,1511,../data/gutenberg/Louisa May Alcott___Mountain-Laurel and Maidenhair.txt,Mountain-Laurel and Maidenhair,Louisa May Alcott
679,2367,../data/gutenberg/Daniel Defoe___The King of Pirates.txt,The King of Pirates,Daniel Defoe
680,1188,../data/gutenberg/P G Wodehouse___A Wodehouse Miscellany.txt,A Wodehouse Miscellany,P G Wodehouse
681,2426,../data/gutenberg/Robert Louis Stevenson___The Master of Ballantrae.txt,The Master of Ballantrae,Robert Louis Stevenson
682,2193,../data/gutenberg/Anthony Trollope___Is He Popenjoy?.txt,Is He Popenjoy?,Anthony Trollope
683,521,../data/gutenberg/Herbert George Wells___Mankind in the Making.txt,Mankind in the Making,Herbert George Wells
684,2842,../data/gutenberg/Sir Walter Scott___The Talisman.txt,The Talisman,Sir Walter Scott
685,393,../data/gutenberg/Lewis Carroll___A Tangled Tale.txt,A Tangled Tale,Lewis Carroll
686,77,../data/gutenberg/Jacob Abbott___Margaret of Anjou.txt,Margaret of Anjou,Jacob Abbott
687,262,../data/gutenberg/Jack London___The Cruise of the Dazzler.txt,The Cruise of the Dazzler,Jack London
688,1709,../data/gutenberg/James Fenimore Cooper___The Last of the Mohicans.txt,The Last of the Mohicans,James Fenimore Cooper
689,240,../data/gutenberg/William J Long___Outlines of English and American Literature.txt,Outlines of English and American Literature,William J Long
690,721,../data/gutenberg/Robert Louis Stevenson___The Dynamiter.txt,The Dynamiter,Robert Louis Stevenson
691,1840,../data/gutenberg/Stephen Leacock___Arcadian Adventures with the Idle Rich.txt,Arcadian Adventures with the Idle Rich,Stephen Leacock
692,1491,../data/gutenberg/Washington Irving___The Crayon Papers.txt,The Crayon Papers,Washington Irving
693,1058,../data/gutenberg/Lucy Maud Montgomery___Kilmeny of the Orchard.txt,Kilmeny of the Orchard,Lucy Maud Montgomery
694,1780,../data/gutenberg/Lewis Carroll___Symbolic Logic.txt,Symbolic Logic,Lewis Carroll
695,799,../data/gutenberg/George Bernard Shaw___Candida.txt,Candida,George Bernard Shaw
696,2332,../data/gutenberg/Charles Kingsley___Madam How and Lady Why.txt,Madam How and Lady Why,Charles Kingsley
697,2244,../data/gutenberg/Oscar Wilde___Lord Arthur Savile's Crime and Other Stories.txt,Lord Arthur Savile's Crime and Other Stories,Oscar Wilde
698,381,../data/gutenberg/Bret Harte___The Story of a Mine.txt,The Story of a Mine,Bret Harte
699,2454,../data/gutenberg/Anthony Trollope___Life of Cicero Volume One.txt,Life of Cicero Volume One,Anthony Trollope
700,1568,../data/gutenberg/Sir Walter Scott___The Heart of Mid-Lothian.txt,The Heart of Mid-Lothian,Sir Walter Scott
701,2077,../data/gutenberg/Rudyard Kipling___The Man Who Would Be King.txt,The Man Who Would Be King,Rudyard Kipling
702,1036,../data/gutenberg/Henry James___Within the Rim and Other Essays.txt,Within the Rim and Other Essays,Henry James
703,1210,../data/gutenberg/Harold Bindloss___The Cattle-Baron's Daughter.txt,The Cattle-Baron's Daughter,Harold Bindloss
704,2687,../data/gutenberg/Henry James___An International Episode.txt,An International Episode,Henry James
705,106,../data/gutenberg/Hamlin Garland___Cavanaugh: Forest Ranger.txt,Cavanaugh: Forest Ranger,Hamlin Garland
706,85,../data/gutenberg/Edward Stratemeyer___The Rover Boys at Big Horn Ranch.txt,The Rover Boys at Big Horn Ranch,Edward Stratemeyer
707,1226,../data/gutenberg/William Dean Howells___Spanish Prisoners of War.txt,Spanish Prisoners of War,William Dean Howells
708,1039,../data/gutenberg/Harold Bindloss___Lister's Great Adventure.txt,Lister's Great Adventure,Harold Bindloss
709,474,../data/gutenberg/Sir Walter Scott___Peveril of the Peak.txt,Peveril of the Peak,Sir Walter Scott
710,1195,../data/gutenberg/R M Ballantyne___Under the Waves.txt,Under the Waves,R M Ballantyne
711,1142,../data/gutenberg/Jerome Klapka Jerome___Stage-Land.txt,Stage-Land,Jerome Klapka Jerome
712,2581,"../data/gutenberg/William Wymark Jacobs___Self-Help, Sailor's Knots, Part 4.txt","Self-Help, Sailor's Knots, Part 4",William Wymark Jacobs
713,2016,../data/gutenberg/William Dean Howells___Literary Friends And Acquaintances.txt,Literary Friends And Acquaintances,William Dean Howells
714,1804,../data/gutenberg/Walt Whitman___Leaves of Grass.txt,Leaves of Grass,Walt Whitman
715,1495,../data/gutenberg/Daniel Defoe___A Vindication of the Press.txt,A Vindication of the Press,Daniel Defoe
716,2216,../data/gutenberg/Henry James___The Spoils of Poynton.txt,The Spoils of Poynton,Henry James
717,633,../data/gutenberg/Baronness Orczy___Petticoat Rule.txt,Petticoat Rule,Baronness Orczy
718,2943,../data/gutenberg/Bram Stoker___The Lady of the Shroud.txt,The Lady of the Shroud,Bram Stoker
719,629,"../data/gutenberg/Nathaniel Hawthorne___The Threefold Destiny (From ""Twice Told Tales"").txt","The Threefold Destiny (From ""Twice Told Tales"")",Nathaniel Hawthorne
720,2205,../data/gutenberg/Wilkie Collins___The Law and the Lady.txt,The Law and the Lady,Wilkie Collins
721,2949,"../data/gutenberg/William Wymark Jacobs___The Third String, Odd Craft, Part 12.txt","The Third String, Odd Craft, Part 12",William Wymark Jacobs
722,345,../data/gutenberg/William Butler Yeats___Rosa Alchemica.txt,Rosa Alchemica,William Butler Yeats
723,2263,../data/gutenberg/George Alfred Henty___With Cochrane the Dauntless.txt,With Cochrane the Dauntless,George Alfred Henty
724,2306,../data/gutenberg/Charles Dickens___The Trial of William Tinkling.txt,The Trial of William Tinkling,Charles Dickens
725,1390,../data/gutenberg/Sir Arthur Conan Doyle___The Return of Sherlock Holmes.txt,The Return of Sherlock Holmes,Sir Arthur Conan Doyle
726,310,../data/gutenberg/G K Chesterton___Eugenics and Other Evils.txt,Eugenics and Other Evils,G K Chesterton
727,735,../data/gutenberg/Louisa May Alcott___The Candy Country.txt,The Candy Country,Louisa May Alcott
728,187,../data/gutenberg/P B Shelley___Adonais.txt,Adonais,P B Shelley
729,1632,../data/gutenberg/Andrew Lang___A Monk of Fife.txt,A Monk of Fife,Andrew Lang
730,3006,"../data/gutenberg/Sir Richard Francis Burton___Personal Narrative of a Pilgrimage to Al-Madinah & Meccah, Volume 2.txt","Personal Narrative of a Pilgrimage to Al-Madinah & Meccah, Volume 2",Sir Richard Francis Burton
731,1768,../data/gutenberg/Rudyard Kipling___Puck of Pook's Hill.txt,Puck of Pook's Hill,Rudyard Kipling
732,3001,../data/gutenberg/Herbert George Wells___The Sleeper Awakes.txt,The Sleeper Awakes,Herbert George Wells
733,415,../data/gutenberg/Andrew Lang___Adventures among Books.txt,Adventures among Books,Andrew Lang
734,516,../data/gutenberg/Jack London___South Sea Tales.txt,South Sea Tales,Jack London
735,917,../data/gutenberg/Jacob Abbott___Stuyvesant.txt,Stuyvesant,Jacob Abbott
736,344,../data/gutenberg/William Somerset Maugham___East of Suez.txt,East of Suez,William Somerset Maugham
737,294,"../data/gutenberg/James Matthew Barrie___Peter Pan in Kensington Gardens, Version 1.txt","Peter Pan in Kensington Gardens, Version 1",James Matthew Barrie
738,1096,../data/gutenberg/Henry Rider Haggard___Eric Brighteyes.txt,Eric Brighteyes,Henry Rider Haggard
739,904,../data/gutenberg/Jacob Abbott___Xerxes.txt,Xerxes,Jacob Abbott
740,1897,../data/gutenberg/William Henry Hudson___A Traveller in Little Things.txt,A Traveller in Little Things,William Henry Hudson
741,1571,"../data/gutenberg/John Milton___L'Allegro, Il Penseroso, Comus, and Lycidas.txt","L'Allegro, Il Penseroso, Comus, and Lycidas",John Milton
742,2312,../data/gutenberg/Henry James___Georgina's Reasons.txt,Georgina's Reasons,Henry James
743,1424,../data/gutenberg/John Ruskin___Time and Tide by Weare and Tyne.txt,Time and Tide by Weare and Tyne,John Ruskin
744,2929,../data/gutenberg/Charles Darwin___The Different Forms of Flowers on Plants of the Same Species.txt,The Different Forms of Flowers on Plants of the Same Species,Charles Darwin
745,1749,../data/gutenberg/Anthony Trollope___The Kellys and the O'Kellys.txt,The Kellys and the O'Kellys,Anthony Trollope
746,2241,../data/gutenberg/Charles Kingsley___Town and Country Sermons.txt,Town and Country Sermons,Charles Kingsley
747,1168,../data/gutenberg/Bret Harte___Gabriel Conroy.txt,Gabriel Conroy,Bret Harte
748,1962,../data/gutenberg/Sir Arthur Conan Doyle___The Croxley Master.txt,The Croxley Master,Sir Arthur Conan Doyle
749,2579,"../data/gutenberg/Robert Southey___Poems, 1799.txt","Poems, 1799",Robert Southey
750,2592,../data/gutenberg/Elizabeth Barrett Browning___The Poetical Works of Elizabeth Barrett Browning Volume IV.txt,The Poetical Works of Elizabeth Barrett Browning Volume IV,Elizabeth Barrett Browning
751,260,../data/gutenberg/Thomas Henry Huxley___Geological Contemporaneity and Persistent Types of Life.txt,Geological Contemporaneity and Persistent Types of Life,Thomas Henry Huxley
752,832,../data/gutenberg/Herbert George Wells___The Time Machine.txt,The Time Machine,Herbert George Wells
753,1343,../data/gutenberg/Charlotte Mary Yonge___Pioneers and Founders.txt,Pioneers and Founders,Charlotte Mary Yonge
754,1886,../data/gutenberg/George Eliot___Daniel Deronda.txt,Daniel Deronda,George Eliot
755,1115,../data/gutenberg/Nathaniel Hawthorne___A Bell's Biography.txt,A Bell's Biography,Nathaniel Hawthorne
756,2231,../data/gutenberg/John Morley___Indian speeches (1907-1909).txt,Indian speeches (1907-1909),John Morley
757,2486,../data/gutenberg/Jack London___Brown Wolf and Other Jack London Stories.txt,Brown Wolf and Other Jack London Stories,Jack London
758,2025,../data/gutenberg/William Makepeace Thackeray___The Virginians.txt,The Virginians,William Makepeace Thackeray
759,1503,../data/gutenberg/Bertrand Russell___The Problems of Philosophy.txt,The Problems of Philosophy,Bertrand Russell
760,2184,../data/gutenberg/Charles Dickens___A Child's History of England.txt,A Child's History of England,Charles Dickens
761,2926,../data/gutenberg/John Dryden___Dryden's Works Vol. 7 (of 18).txt,Dryden's Works Vol. 7 (of 18),John Dryden
762,1855,../data/gutenberg/G K Chesterton___George Bernard Shaw.txt,George Bernard Shaw,G K Chesterton
763,2427,../data/gutenberg/Rudyard Kipling___Just So Stories.txt,Just So Stories,Rudyard Kipling
764,2992,../data/gutenberg/D H Lawrence___Aaron's Rod.txt,Aaron's Rod,D H Lawrence
765,2499,../data/gutenberg/Harold Bindloss___The League of the Leopard.txt,The League of the Leopard,Harold Bindloss
766,1379,../data/gutenberg/John Dryden___Discourses on Satire and Epic Poetry.txt,Discourses on Satire and Epic Poetry,John Dryden
767,2455,../data/gutenberg/George Bernard Shaw___Arms and the Man.txt,Arms and the Man,George Bernard Shaw
768,1426,../data/gutenberg/Jerome Klapka Jerome___Told After Supper.txt,Told After Supper,Jerome Klapka Jerome
769,2923,../data/gutenberg/Lewis Carroll___Through the Looking-Glass.txt,Through the Looking-Glass,Lewis Carroll
770,2293,../data/gutenberg/Lord Byron___The Works of Lord Byron. Vol. 3.txt,The Works of Lord Byron. Vol. 3,Lord Byron
771,360,../data/gutenberg/Henry James___Greville Fane.txt,Greville Fane,Henry James
772,2685,../data/gutenberg/James Fenimore Cooper___The Water-Witch.txt,The Water-Witch,James Fenimore Cooper
773,620,../data/gutenberg/Edward Phillips Oppenheim___The Traitors.txt,The Traitors,Edward Phillips Oppenheim
774,2164,../data/gutenberg/Sinclair Lewis___The Trail of the Hawk.txt,The Trail of the Hawk,Sinclair Lewis
775,986,../data/gutenberg/Winston Churchill___A Traveller in War-Time.txt,A Traveller in War-Time,Winston Churchill
776,34,../data/gutenberg/Sir Walter Scott___Bride of Lammermoor.txt,Bride of Lammermoor,Sir Walter Scott
777,690,../data/gutenberg/P B Shelley___The Daemon of the World.txt,The Daemon of the World,P B Shelley
778,2705,../data/gutenberg/Lyman Frank Baum___Mary Louise and the Liberty Girls.txt,Mary Louise and the Liberty Girls,Lyman Frank Baum
779,2527,../data/gutenberg/Anthony Trollope___John Caldigate.txt,John Caldigate,Anthony Trollope
780,376,../data/gutenberg/Samuel Taylor Coleridge___Confessions of an Inquiring Spirit.txt,Confessions of an Inquiring Spirit,Samuel Taylor Coleridge
781,101,../data/gutenberg/George Alfred Henty___In the Irish Brigade.txt,In the Irish Brigade,George Alfred Henty
782,2620,../data/gutenberg/George Alfred Henty___The Cat of Bubastes.txt,The Cat of Bubastes,George Alfred Henty
783,2509,../data/gutenberg/James Fenimore Cooper___The Spy.txt,The Spy,James Fenimore Cooper
784,1936,"../data/gutenberg/Thomas Carlyle___History of Friedrich II of Prussia, Volume 18.txt","History of Friedrich II of Prussia, Volume 18",Thomas Carlyle
785,946,"../data/gutenberg/Mark Twain___The Prince and The Pauper, Complete.txt","The Prince and The Pauper, Complete",Mark Twain
786,2228,../data/gutenberg/James Matthew Barrie___Sentimental Tommy.txt,Sentimental Tommy,James Matthew Barrie
787,1957,"../data/gutenberg/Mark Twain___Tom Sawyer, Detective.txt","Tom Sawyer, Detective",Mark Twain
788,2096,../data/gutenberg/Edward Phillips Oppenheim___The New Tenant.txt,The New Tenant,Edward Phillips Oppenheim
789,506,../data/gutenberg/Oscar Wilde___Miscellaneous Aphorisms; The Soul of Man.txt,Miscellaneous Aphorisms; The Soul of Man,Oscar Wilde
790,1412,../data/gutenberg/R M Ballantyne___The Fugitives.txt,The Fugitives,R M Ballantyne
791,1205,../data/gutenberg/Edward Phillips Oppenheim___Mr. Marx's Secret.txt,Mr. Marx's Secret,Edward Phillips Oppenheim
792,61,../data/gutenberg/Grant Allen___Post-Prandial Philosophy.txt,Post-Prandial Philosophy,Grant Allen
793,1175,../data/gutenberg/George Alfred Henty___The Young Carthaginian.txt,The Young Carthaginian,George Alfred Henty
794,2989,"../data/gutenberg/Winston Churchill___A Modern Chronicle, Complete.txt","A Modern Chronicle, Complete",Winston Churchill
795,1894,"../data/gutenberg/Michael Faraday___Experimental Researches in Electricity, Volume 1.txt","Experimental Researches in Electricity, Volume 1",Michael Faraday
796,2692,../data/gutenberg/Andrew Lang___The Arabian Nights Entertainments.txt,The Arabian Nights Entertainments,Andrew Lang
797,2424,../data/gutenberg/James Otis___The Minute Boys of Boston.txt,The Minute Boys of Boston,James Otis
798,2746,"../data/gutenberg/Joseph Conrad___The Nigger Of The ""Narcissus"".txt","The Nigger Of The ""Narcissus""",Joseph Conrad
799,1116,../data/gutenberg/Charles Dickens___Somebody's Luggage.txt,Somebody's Luggage,Charles Dickens
800,1861,../data/gutenberg/Virginia Woolf___Monday or Tuesday.txt,Monday or Tuesday,Virginia Woolf
801,519,../data/gutenberg/Oscar Wilde___The Soul of Man.txt,The Soul of Man,Oscar Wilde
802,2062,../data/gutenberg/Frank Richard Stockton___The Great Stone of Sardis.txt,The Great Stone of Sardis,Frank Richard Stockton
803,2108,../data/gutenberg/Charles Kingsley___The Good News of God.txt,The Good News of God,Charles Kingsley
804,2369,../data/gutenberg/P B Shelley___The Complete Poetical Works of Percy Bysshe Shelley.txt,The Complete Poetical Works of Percy Bysshe Shelley,P B Shelley
805,1989,../data/gutenberg/William Dean Howells___Studies of Lowell.txt,Studies of Lowell,William Dean Howells
806,2034,../data/gutenberg/Herbert George Wells___The Wonderful Visit.txt,The Wonderful Visit,Herbert George Wells
807,72,../data/gutenberg/Thornton Waldo Burgess___The Adventures of Poor Mrs. Quack.txt,The Adventures of Poor Mrs. Quack,Thornton Waldo Burgess
808,2856,../data/gutenberg/Edward Phillips Oppenheim___The Survivor.txt,The Survivor,Edward Phillips Oppenheim
809,36,../data/gutenberg/Hamlin Garland___Prairie Folks.txt,Prairie Folks,Hamlin Garland
810,2266,../data/gutenberg/Hamlin Garland___The Spirit of Sweetwater.txt,The Spirit of Sweetwater,Hamlin Garland
811,2000,../data/gutenberg/Bret Harte___A First Family of Tasajara.txt,A First Family of Tasajara,Bret Harte
812,2460,../data/gutenberg/Charles Dickens___Reprinted Pieces.txt,Reprinted Pieces,Charles Dickens
813,1537,../data/gutenberg/Oscar Wilde___Selected Prose of Oscar Wilde.txt,Selected Prose of Oscar Wilde,Oscar Wilde
814,2028,../data/gutenberg/William Butler Yeats___Poems.txt,Poems,William Butler Yeats
815,142,"../data/gutenberg/Nathaniel Hawthorne___Passages from the American Notebooks, Volume 1.txt","Passages from the American Notebooks, Volume 1",Nathaniel Hawthorne
816,1652,../data/gutenberg/R M Ballantyne___Dusty Diamonds Cut and Polished.txt,Dusty Diamonds Cut and Polished,R M Ballantyne
817,2147,../data/gutenberg/Charles Kingsley___Glaucus; or The Wonders of the Shore.txt,Glaucus; or The Wonders of the Shore,Charles Kingsley
818,2014,../data/gutenberg/William Butler Yeats___Per Amica Silentia Lunae.txt,Per Amica Silentia Lunae,William Butler Yeats
819,2566,../data/gutenberg/Thomas Henry Huxley___Science & Education.txt,Science & Education,Thomas Henry Huxley
820,2941,../data/gutenberg/Anthony Trollope___He Knew He Was Right.txt,He Knew He Was Right,Anthony Trollope
821,2534,../data/gutenberg/William Ewart Gladstone___On Books and the Housing of Them.txt,On Books and the Housing of Them,William Ewart Gladstone
822,1192,../data/gutenberg/G K Chesterton___The Victorian Age in Literature.txt,The Victorian Age in Literature,G K Chesterton
823,2651,../data/gutenberg/Jacob Abbott___Rollo in Holland.txt,Rollo in Holland,Jacob Abbott
824,1317,../data/gutenberg/John Morley___Rousseau.txt,Rousseau,John Morley
825,2235,../data/gutenberg/Thomas Henry Huxley___The Rise and Progress of Palaeontology.txt,The Rise and Progress of Palaeontology,Thomas Henry Huxley
826,2609,../data/gutenberg/William Dean Howells___Criticism And Fiction.txt,Criticism And Fiction,William Dean Howells
827,1170,../data/gutenberg/William Butler Yeats___Where There is Nothing.txt,Where There is Nothing,William Butler Yeats
828,1832,../data/gutenberg/George Alfred Henty___With Kitchener in the Soudan.txt,With Kitchener in the Soudan,George Alfred Henty
829,152,../data/gutenberg/Charles Darwin___The Descent of Man and Selection in Relation to Sex.txt,The Descent of Man and Selection in Relation to Sex,Charles Darwin
830,2803,../data/gutenberg/Charles Dickens___Mugby Junction.txt,Mugby Junction,Charles Dickens
831,2299,"../data/gutenberg/Robert Louis Stevenson___A Child's Garden of Verses, Verse 154.txt","A Child's Garden of Verses, Verse 154",Robert Louis Stevenson
832,2996,"../data/gutenberg/John Ruskin___On the Old Road, Vol. 1 (of 2).txt","On the Old Road, Vol. 1 (of 2)",John Ruskin
833,1073,../data/gutenberg/George Eliot___Adam Bede.txt,Adam Bede,George Eliot
834,42,../data/gutenberg/Oscar Wilde___A Woman of No Importance.txt,A Woman of No Importance,Oscar Wilde
835,2633,"../data/gutenberg/Lucy Maud Montgomery___Lucy Maud Montgomery Short Stories, 1909 to 1922.txt","Lucy Maud Montgomery Short Stories, 1909 to 1922",Lucy Maud Montgomery
836,5,../data/gutenberg/Anthony Trollope___Thackeray.txt,Thackeray,Anthony Trollope
837,55,../data/gutenberg/William Dean Howells___The Parlor-Car.txt,The Parlor-Car,William Dean Howells
838,2518,../data/gutenberg/Frank Richard Stockton___A Bicycle of Cathay.txt,A Bicycle of Cathay,Frank Richard Stockton
839,987,"../data/gutenberg/William Wymark Jacobs___Back to Back, Night Watches, Part 1.txt","Back to Back, Night Watches, Part 1",William Wymark Jacobs
840,1067,../data/gutenberg/R M Ballantyne___Silver Lake.txt,Silver Lake,R M Ballantyne
841,2805,../data/gutenberg/O Henry___Strictly Business.txt,Strictly Business,O Henry
842,511,../data/gutenberg/Grant Allen___Strange Stories.txt,Strange Stories,Grant Allen
843,2881,../data/gutenberg/Charlotte Mary Yonge___The Dove in the Eagle's Nest.txt,The Dove in the Eagle's Nest,Charlotte Mary Yonge
844,1335,../data/gutenberg/Mark Twain___The Facts Concerning The Recent Carnival Of Crime In Connecticut.txt,The Facts Concerning The Recent Carnival Of Crime In Connecticut,Mark Twain
845,1953,../data/gutenberg/William Somerset Maugham___The Trembling of a Leaf.txt,The Trembling of a Leaf,William Somerset Maugham
846,2286,../data/gutenberg/Grant Allen___Philistia.txt,Philistia,Grant Allen
847,255,../data/gutenberg/Henry Rider Haggard___Fair Margaret.txt,Fair Margaret,Henry Rider Haggard
848,1279,../data/gutenberg/John Galsworthy___The Country House.txt,The Country House,John Galsworthy
849,871,"../data/gutenberg/Nathaniel Hawthorne___The Marble Faun, Volume 1.txt","The Marble Faun, Volume 1",Nathaniel Hawthorne
850,2376,../data/gutenberg/Hector Hugh Munro___Beasts and Super-Beasts.txt,Beasts and Super-Beasts,Hector Hugh Munro
851,893,../data/gutenberg/Herman Melville___The Piazza Tales.txt,The Piazza Tales,Herman Melville
852,1419,../data/gutenberg/Louisa May Alcott___Aunt Jo's Scrap-Bag.txt,Aunt Jo's Scrap-Bag,Louisa May Alcott
853,2027,../data/gutenberg/Harold Bindloss___Wyndham's Pal.txt,Wyndham's Pal,Harold Bindloss
854,915,../data/gutenberg/Jacob Abbott___Mary Erskine.txt,Mary Erskine,Jacob Abbott
855,2804,../data/gutenberg/James Fenimore Cooper___The Pathfinder.txt,The Pathfinder,James Fenimore Cooper
856,473,"../data/gutenberg/Nathaniel Hawthorne___Old Ticonderoga, A Picture of The Past.txt","Old Ticonderoga, A Picture of The Past",Nathaniel Hawthorne
857,2203,../data/gutenberg/Charles Kingsley___Women and Politics.txt,Women and Politics,Charles Kingsley
858,985,../data/gutenberg/R M Ballantyne___Up in the Clouds.txt,Up in the Clouds,R M Ballantyne
859,335,../data/gutenberg/Edward Stratemeyer___The Rover Boys in Southern Waters.txt,The Rover Boys in Southern Waters,Edward Stratemeyer
860,551,../data/gutenberg/Thomas Hardy___Two on a Tower.txt,Two on a Tower,Thomas Hardy
861,1285,"../data/gutenberg/Daniel Defoe___An Appeal to Honour and Justice, Though It Be of His Worst Enemies.txt","An Appeal to Honour and Justice, Though It Be of His Worst Enemies",Daniel Defoe
862,328,../data/gutenberg/George Bernard Shaw___Preface to Androcles and the Lion.txt,Preface to Androcles and the Lion,George Bernard Shaw
863,2532,../data/gutenberg/George Alfred Henty___True to the Old Flag.txt,True to the Old Flag,George Alfred Henty
864,66,../data/gutenberg/William Dean Howells___Imaginary Interviews.txt,Imaginary Interviews,William Dean Howells
865,1590,../data/gutenberg/Oscar Wilde___A House of Pomegranates.txt,A House of Pomegranates,Oscar Wilde
866,718,../data/gutenberg/O Henry___The Four Million.txt,The Four Million,O Henry
867,1728,../data/gutenberg/Charles Kingsley___The Water of Life and Other Sermons.txt,The Water of Life and Other Sermons,Charles Kingsley
